Abin_Sur, dc
Fiddler_(comics), dc
Fire_(comics), dc
Firebrand_(DC_Comics), dc
Firefly_(DC_Comics), dc
Firestorm_(character), dc
Flash_(DC_Comics_character), dc
Flamebird, dc
Flamingo_(comics), dc
Anna_Fortune, dc
Flex_Mentallo, dc
Floronic_Man, dc
Major_Force, dc
Mr._Freeze, dc
Forerunner_(DC_Comics), dc
Frankenstein_(DC_Comics), dc
Fury_(DC_Comics), dc
G'nort, dc
Gambler_(comics), dc
Ganthet, dc
Gearhead_(DC_Comics), dc
General_Immortus, dc
General_Zahl, dc
Gentleman_Ghost, dc
Geo-Force, dc
Giganta, dc
Gizmo_(DC_Comics), dc
Glorious_Godfrey, dc
Gnarrk, dc
Golden_Glider, dc
Gorilla_Grodd, dc
Green_Arrow, dc
Green_Lantern, dc
Guardian_(DC_Comics), dc
Hank_Hall, dc
Harlequin_(character), dc
Harley_Quinn, dc
Harry_Stein_(character), dc
Harvey_Bullock_(character), dc
Hawk_and_Dove, dc
Hawkgirl, dc
Hawkman, dc
Hawkwoman, dc
Heat_Wave_(comics), dc
Hector_Hammond, dc
Hippolyta_(DC_Comics), dc
Hourman, dc
Huntress_(comics), dc
Hush_(character), dc
Hyathis, dc
Ibis_the_Invincible, dc
Ice_(character), dc
Icemaiden, dc
Icicle_(comics), dc
Icon_(character), dc
Immortal_Man, dc
Impulse_(DC_Comics), dc
Inspector_Henderson, dc
Invisible_Kid, dc
Ion_(DC_Comics), dc
Iris_West, dc
Isamot_Kol, dc
Isis_(DC_Comics), dc
G.I._Robot, dc
G.I._Robot, dc
Martian_Manhunter, dc
Metal_Men, dc
Royal_Flush_Gang, dc
The_Pentacle, dc
Jack_O'Lantern_(DC_Comics), dc
Jack_the_Ripper_fiction, dc
Deathstroke, dc
Demolition_Team, dc
Jade_(DC_Comics), dc
Cinder_and_Ashe, dc
Jakeem_Thunder, dc
Jinx_(DC_Comics), dc
Johnny_Thunder, dc
Joker_(DC_Comics), dc
Katana_(DC_Comics), dc
Kelex, dc
Kid_Eternity, dc
Kid_Flash, dc
King_Standish, dc
Killer_Croc, dc
Killer_Frost, dc
Killer_Moth, dc
Kobra_(DC_Comics), dc
Kole, dc
L-Ron, dc
Lady_Blackhawk, dc
Lady_Quark, dc
Lady_Shiva, dc
Lady_Styx, dc
Lady_Vic, dc
Inferior_Five, dc
Lagoon_Boy, dc
Larry_Lance, dc
Lois_Lane, dc
Lucy_Lane, dc
Sam_Lane_(comics), dc
Lana_Lang, dc
Lara_(character), dc
Larfleeze, dc
Bat_Lash, dc
Lashina, dc
Legion_(DC_Comics), dc
Lori_Lemaris, dc
Liberty_Belle_(comics), dc
Lightning_(DC_Comics), dc
Lilith_Clay, dc
Livewire_(DC_Comics), dc
Lobo_(DC_Comics), dc
Gillian_B._Loeb, dc
Steve_Lombard, dc
Looker_(character), dc
Maxwell_Lord, dc
Lucifer_(DC_Comics), dc
Lena_Luthor, dc
Lex_Luthor, dc
Lionel_Luthor, dc
Lynx_(comics), dc
Magpie_(character), dc
Mammoth_(comics), dc
Bruno_Mannheim, dc
Minister_Blizzard, dc
Mongul, dc
Eclipso, dc
Mutants_(DC_Comics), dc
Naiad_(character), dc
Natas_(character), dc
Nebula_Man, dc
Negative_Man, dc
Nekron, dc
Nemesis_(DC_Comics), dc
Nemesis_Kid, dc
Neon_the_Unknown, dc
Neutron_(DC_Comics), dc
Masters_of_Disaster_(comics), dc
Professor_Carter_Nichols, dc
Nighthawk_(DC_Comics), dc
Nightmaster, dc
Nightrider_(DC_Comics), dc
Nightrunner_(character), dc
Nightshade_(DC_Comics), dc
Nightslayer, dc
Nightwing, dc
Nite_Owl, dc
Nite-Wing, dc
Nocturna_(DC_Comics), dc
Non_(comics), dc
Intergang, dc
Northwind_(comics), dc
Ms._Gsptlsnz, dc
Orca_(DC_Comics), dc
Phosphorus_Rex, dc
Prankster_(comics), dc
Prestor_Jon, dc
Protector_(DC_Comics), dc
Professor_Pyg, dc
Quakemaster, dc
Ravan_(comics), dc
Raven_(DC_Comics), dc
Roy_Harper_(character)|Emiko_Queen, dc
Red_Star_(comics), dc
Red_Tornado|Red_Tornado_(identity), dc
Robin_(DC_Comics), dc
Harper_Row, dc
Sardath, dc
Sin_(DC_Comics), dc
Li'l_Lobo, dc
Felicity_Smoak, dc
Johnny_Sorrow, dc
Jimmy_Olsen, dc
Cornelius_Stirk, dc
Silas_Stone, dc
Super-Hip, dc
Super-Turtle, dc
Superboy, dc
Supergirl, dc
Superman, dc
Superman_robots, dc
Supernova_(DC_Comics), dc
Superwoman, dc
Tally_Man, dc
TNT_(character), dc
Turtle_(comics), dc
League_of_Assassins, dc
Big_Science_Action, dc
Ultra_Boy, dc
Ultra_the_Multi-Alien, dc
Ultraa, dc
Ultra-Humanite, dc
Ultra-Man, dc
Ultraman_(DC_Comics), dc
Umbaluru, dc
Uncle_Marvel, dc
Uncle_Sam_(comics), dc
Characters_of_The_Sandman, dc
Universo, dc
Unknown_Soldier_(DC_Comics), dc
Axis_Amerika, dc
V_(character), dc
Warlock's_Daughter, dc
Warlord_(DC_Comics), dc
Warp_(comics), dc
Waverider_(character), dc
Weapons_Master, dc
Weather_Wizard, dc
Web_(character), dc
Weeper_(DC_Comics), dc
Weird_(comics), dc
Paul_Westfield, dc
Whip_(comics), dc
White_Witch_(comics), dc
Perry_White, dc
Wild_Dog_(comics), dc
Wildebeest_(comics), dc
Wildfire_(comics), dc
Wildstar_(DC_Comics), dc
Rose_Wilson, dc
Woozy_Winks, dc
Wintergreen_(comics), dc
Wizard_(DC_Comics), dc
Wonder_Boy_(character), dc
Wonder_Girl_(Cassie_Sandsmark), dc
Wonder_Twins, dc
Wonder_Woman, dc
Wotan_(comics), dc
Wrath_(comics), dc
Hal_Jordan, dc
Yellow_Peri, dc
Yellowjacket_(Charlton_Comics), dc
Zara_(character), dc
Zatanna, dc
Zatara, dc
Zachary_Zatara, dc
Zauriel, dc
Zebra-Man, dc
Zeus_(DC_Comics), dc
Zookeeper_(comics), dc
Zor-El, dc
Tony_Zucco, dc
Lex_Luthor, dc
Valda_the_Iron_Maiden, dc
Metallo, dc
Batman_and_Robin_(serial), dc
Jor-El, dc
Karate_Kid_(comics), dc
Valentina_Vostok, dc
Batman:_Mask_of_the_Phantasm, dc
Validus, dc
Super_Friends, dc
Omega_Men, dc
Vandal_Savage, dc
Gotham_City_Police_Department, dc
For_the_Man_Who_Has_Everything, dc
Night_Force, dc
Shining_Knight, dc
Green_Lantern_Corps, dc
Tony_Zucco, dc
The_Conglomerate_(comics), dc
Superman_&_Batman:_Generations, dc
Vartox, dc
Vath_Sarn, dc
Elseworld's_Finest:_Supergirl_&_Batgirl, dc
Batman:_Knightfall, dc
Khund, dc
Wild_Dog_(comics), dc
Themyscira_(DC_Comics), dc
Bloodlines_(comics), dc
Ventriloquist_(comics), dc
Doctor_Sivana, dc
Veridium, dc
Veronica_Cale, dc
Vartox, dc
Vibe_(comics), dc
Batman_(1966_film), dc
Dial_H_for_Hero, dc
Vicki_Vale, dc
Vigilante_(comics), dc
Maximums, dc
Viking_Prince, dc
The_Losers_(2010_film), dc
Kasnia, dc
Xenobrood, dc
Flash_in_other_media, dc
Gotham_City_Police_Department, dc
Creature_Commandos, dc
Creeper_(comics), dc
The_Shadow, dc
Viperie_(Action_Comics_338), dc
Onomatopoeia_(comics), dc
Virman_Vundabar, dc
Virtuoso_(comics), dc
Vixen_(comics), dc
Vizacacha, dc
Hero_Hotline, dc
Volcana, dc
Lady_Quark, dc
Volthoom, dc
Von_Bach, dc
Baroness_Paula_von_Gunther, dc
Superman_(1978_film), dc
Voodoo_(Wildstorm), dc
Doom_Patrol, dc
The_Monarchy_(comics), dc
Batman_Beyond, dc
Hans_Vroom_(Action_Comics_93), dc
Tri_Vul_(The_Brave_and_the_Bold,_Vol._1,_155), dc
Nuidis_Vulko, dc
Terrible_Trio, dc
X'_Hal, dc
X-2-Y_(Action_Comics_344), dc
X-5_Super_Agent_(Quality_Comics), dc
X_of_the_Underground, dc
Empire_(comics), dc
Sparta_of_Synriannaq, dc
Xardo_(Action_Comics_325), dc
Xasnu_(Action_Comics_278), dc
X-Bomb_Betty, dc
Xenofobe, dc
Xeo, dc
Xera_(comics), dc
Xero_(comics), dc
Xiang-Fa_(Green_Lantern,_Vol._3,_19), dc
Cadre_(comics), dc
Hell_(DC_Comics), dc
Xombi, dc
Xov_(Action_Comics_242), dc
XS_(comics), dc
International_Ultramarine_Corps, dc
Hero_Hotline, dc
711_(Quality_Comics), dc
Abomination_(character), marvel
Absorbing_Man, marvel
Achebe_(comics), marvel
Agent_(comics), marvel
Agent_X_(Marvel_Comics), marvel
Dmitri_Bukharin, marvel
Air-Walker, marvel
Liz_Allan, marvel
Amatsu-Mikaboshi_(comics), marvel
American_Dream_(comics), marvel
American_Eagle_(Marvel_Comics), marvel
Anaconda_(comics), marvel
X-Statix, marvel
Ancient_One, marvel
Andromeda_(Marvel_Comics), marvel
Angel_(Thomas_Halloway), marvel
Angel_Dust_(comics), marvel
Angela_(comics), marvel
Dirk_Anger, marvel
Ani-Mator, marvel
Annex_(comics), marvel
Annihilus, marvel
Anole_(comics), marvel
Anthem_(comics), marvel
Ant-Man, marvel
Anti-Venom_(symbiote), marvel
Apache_Kid_(comics), marvel
Ani-Men, marvel
Apocalypse_(comics), marvel
Apollo_(Marvel_Comics), marvel
Aqueduct_(comics), marvel
Arabian_Knight_(comics), marvel
Aragorn_(comics), marvel
Arcade_(Marvel_Comics), marvel
Arclight_(comics), marvel
Ares_(Marvel_Comics), marvel
Aries_(comics), marvel
Arkon, marvel
Armadillo_(comics), marvel
Armor_(comics), marvel
Arsenal_(Marvel_Comics), marvel
Gertrude_Yorkes, marvel
Asbestos_Man, marvel
Mike_Asher, marvel
Asp_(comics), marvel
Vance_Astro, marvel
Elders_of_the_Universe, marvel
Atalanta_(Pantheon), marvel
Athena_(Marvel_Comics), marvel
Erik_Josten, marvel
Attuma, marvel
Aurora_(comics), marvel
Avalanche_(comics), marvel
Awesome_Android, marvel
Azazel_(Marvel_Comics), marvel
Azzuri_(comics), marvel
Bruce_Banner, marvel
Rebecca_Banner, marvel
Brian_Banner, marvel
Baron_Blood, marvel
Baron_Brimstone, marvel
Baron_Mordo, marvel
Baron_Zemo, marvel
Barracuda_(comics), marvel
Dark_Riders_(comics), marvel
Turk_Barrett, marvel
Breeze_Barton, marvel
Bast_(Marvel_Comics), marvel
Bastion_(comics), marvel
Batroc_the_Leaper, marvel
Battlestar_(comics), marvel
Batwing_(Marvel_Comics), marvel
Baymax, marvel
Beast_(comics), marvel
Beautiful_Dreamer_(Marvel_Comics), marvel
Bedlam_(comics), marvel
Beef_(comics), marvel
Beetle_(comics), marvel
Bela_(comics), marvel
Belasco_(Marvel_Comics), marvel
Bella_Donna_(comics), marvel
Bengal_(comics), marvel
Dexter_Bennett, marvel
Bereet, marvel
Berzerker_(comics), marvel
Beta_Ray_Bill, marvel
Beyonder, marvel
Bi-Beast, marvel
Big_Bertha_(comics), marvel
Big_Man_(comics), marvel
Big_Wheel_(comics), marvel
Bird-Brain_(Marvel_Comics), marvel
Bird-Man, marvel
Bishop_(Marvel_Comics), marvel
Bison_(comics), marvel
Eric_O'Grady, marvel
Black_Bolt, marvel
Black_Box_(comics), marvel
Black_Cat_(Marvel_Comics), marvel
Black_Crow_(comics), marvel
Black_Fox_(Raul_Chalmers), marvel
Black_Jack_Tarr, marvel
Black_Knight_(comics), marvel
Black_Mamba_(comics), marvel
Black_Marvel, marvel
Black_Panther_(character)|T'Challa_(Marvel_Cinematic_Universe), marvel
Black_Racer_(Marvel_Comics), marvel
Black_Rider_(comics), marvel
Black_Spectre_(Carson_Knowles), marvel
Black_Swan_(comics), marvel
Black_Talon_(comics), marvel
Black_Tarantula, marvel
Black_Tom_Cassidy, marvel
Black_Widow_(Marvel_Comics), marvel
Blackheart, marvel
Whiplash_(Mark_Scarlotti), marvel
Blacklight_(MC2), marvel
Blackout_(Marcus_Daniels), marvel
Blackwing_(character), marvel
Blade_(character), marvel
Thor_(Marvel_Comics), marvel
Blank_(comics), marvel
Blastaar, marvel
Siena_Blaze, marvel
Blazing_Skull, marvel
Blindfold_(comics), marvel
Blindspot_(comics), marvel
Bling!, marvel
Blink_(comics), marvel
Bliss_(Marvel_Comics), marvel
Blizzard_(Marvel_Comics), marvel
Blob_(comics), marvel
Blockbuster_(Marauder), marvel
Blonde_Phantom, marvel
Blood_Brothers_(comics), marvel
Bloodaxe_(comics), marvel
Bloodhawk, marvel
Bloodscream, marvel
Bloodshed_(comics), marvel
Cullen_Bloodstone, marvel
Elsa_Bloodstone, marvel
Ulysses_Bloodstone, marvel
Bloodstrike_(Marvel_Comics), marvel
Blue_Diamond_(comics), marvel
Blue_Eagle_(comics), marvel
Blue_Marvel, marvel
Blue_Shield_(comics), marvel
Blue_Streak_(comics), marvel
Bob,_Agent_of_HYDRA, marvel
Elias_Bogan, marvel
Chris_Bradley, marvel
Bonebreaker, marvel
Alexander_Bont, marvel
Tabitha_Smith, marvel
Boomerang_(comics), marvel
Bova_(comics), marvel
Box_(comics), marvel
Jamie_Braddock, marvel
Isaiah_Bradley, marvel
Brain_Drain_(comics), marvel
Brainchild_(comics), marvel
Abigail_Brand, marvel
Betty_Brant, marvel
G._W._Bridge, marvel
Brimstone_Love, marvel
Brother_Tode, marvel
Brother_Voodoo, marvel
Brothers_Grimm_(comics), marvel
Molly_Hayes, marvel
Brute_(Reed_Richards), marvel
Bucky_(Marvel_Comics), marvel
Paul_Budiansky, marvel
Bug_(comics), marvel
Bulldozer_(comics), marvel
Bullseye_(comics), marvel
Bulwark_(comics), marvel
Nathaniel_Bumpo, marvel
Burglar_(comics), marvel
Burner_(comics), marvel
Bushman_(comics), marvel
Bushmaster_(Marvel_Comics), marvel
Bushwacker_(comics), marvel
Layla_Miller, marvel
Buzz_(Marvel_Comics), marvel
Byrrah, marvel
Tatiana_Caban, marvel
Bethany_Cabe, marvel
Cable_(comics), marvel
Luke_Cage, marvel
Caiman_(comics), marvel
Caliban_(comics), marvel
Callisto_(comics), marvel
Calypso_(comics), marvel
Cammi_(comics), marvel
Cancer_(comics), marvel
Candra_(comics), marvel
Cannonball_(comics), marvel
Capricorn_(comics), marvel
Captain_(comics), marvel
Captain_America|Captain_America_(Ultimate_Marvel_character)|Steve_Rogers_(Marvel_Cinematic_Universe), marvel
Captain_Atlas, marvel
Captain_Britain, marvel
Captain_Fate, marvel
Captain_Marvel_(Marvel_Comics), marvel
Captain_Midlands, marvel
Captain_Savage, marvel
Flash_Thompson, marvel
Captain_Britain_Corps, marvel
Captain_Ultra, marvel
Captain_Universe, marvel
Captain_Wonder_(Timely_Comics), marvel
Cardiac_(comics), marvel
Cardinal_(comics), marvel
Caretaker_(comics), marvel
Carnage_(character), marvel
Carnivore_(comics), marvel
Carrion_(comics), marvel
Peggy_Carter, marvel
Sharon_Carter, marvel
Tyrone_Cash, marvel
Catseye_(comics), marvel
Cell_(comics), marvel
Centurious, marvel
Centurius, marvel
Cerebra, marvel
Cerise_(comics), marvel
Challenger_(comics), marvel
Chamber_(comics), marvel
Chameleon_(comics), marvel
Champion_of_the_Universe, marvel
Marlo_Chandler, marvel
Damage_Control_(comics), marvel
Charcoal_(comics), marvel
Charlie-27, marvel
Charon_(Marvel_Comics), marvel
Chemistro, marvel
Zhou_Cheng, marvel
Cheshire_Cat_(comics), marvel
Amadeus_Cho, marvel
Ch'od, marvel
Chondu_the_Mystic, marvel
Andrew_Chord, marvel
Trevor_Fitzroy, marvel
Cipher_(comics), marvel
Citizen_V, marvel
Clea, marvel
Damage_Control, marvel
Cloak_and_Dagger_(comics), marvel
Cloud_9_(comics), marvel
Coachwhip_(comics), marvel
Coal_Tiger, marvel
Cobalt_Man, marvel
Cobra_(Marvel_Comics), marvel
Malcolm_Colcord, marvel
Coldblood, marvel
Collective_Man, marvel
Collector_(comics), marvel
Rusty_Collins, marvel
Ultimate_Red_Guardian, marvel
Colossus_(comics), marvel
Comanche_(comics), marvel
Comet_Man, marvel
Commander_Kraken, marvel
Conan_(Marvel_Comics), marvel
Condor_(comics), marvel
Billy_Connors_(comics), marvel
Martha_Connors, marvel
Conquest_(comics), marvel
Constrictor_(comics), marvel
Contemplator_(Marvel_Comics), marvel
Controller_(Marvel_Comics), marvel
Jen_Cooke, marvel
Finn_Cooley, marvel
Carlie_Cooper, marvel
Valerie_Cooper, marvel
Copperhead_(Marvel_Comics), marvel
Anya_Corazon, marvel
Peter_Corbeau, marvel
Edwin_Cord, marvel
Abraham_Cornelius, marvel
Archie_Corrigan, marvel
Corruptor_(comics), marvel
Corsair_(comics), marvel
Tom_Corsi, marvel
Fabian_Cortez, marvel
Cosmo_the_Spacedog, marvel
Cottonmouth_(Cornell_Cottonmouth), marvel
Phil_Coulson, marvel
Cowgirl_(comics), marvel
Graydon_Creed, marvel
Crime_Master, marvel
Crimson_Cavalier, marvel
Crimson_Commando, marvel
Crimson_Curse, marvel
Crimson_Dynamo, marvel
Crippler_(comics), marvel
Darren_Cross, marvel
Crossbones_(comics), marvel
Crossfire_(comics), marvel
Enclave_(comics), marvel
Crusader_(Marvel_Comics), marvel
Crusher_(comics), marvel
Crystal_(comics), marvel
Cyber_(Marvel_Comics), marvel
Cyclone_(Marvel_Comics), marvel
Cyclops_(Marvel_Comics), marvel
Cypher_(comics), marvel
Cyttorak, marvel
Dagger_(comics), marvel
Daken, marvel
Dakimh_the_Enchanter, marvel
Daredevil_(Marvel_Comics_character), marvel
Dark_Beast, marvel
Darkdevil, marvel
Darkhawk, marvel
Darkoth, marvel
Darkstar_(Marvel_Comics), marvel
Darwin_(comics), marvel
Spacker_Dave, marvel
Amanda_Sefton, marvel
Dazzler_(Marvel_Comics), marvel
Dead_Girl, marvel
Deadpool, marvel
Pride_(comics), marvel
Death_(Marvel_Comics), marvel
Death_Adder_(comics), marvel
Death_Metal_(comics), marvel
Death's_Head, marvel
Deathbird, marvel
Deathlok, marvel
Deathwatch_(comics), marvel
Debrii, marvel
Valentina_Allegra_de_Fontaine, marvel
Marco_Delgado_(comics), marvel
Delilah_(comics), marvel
Delphi_(Pantheon), marvel
Demogoblin, marvel
Demolition_Man_(comics), marvel
Demon_Bear, marvel
Desak, marvel
Destiny_(Irene_Adler), marvel
Destroyer_(Keen_Marlow), marvel
Detroit_Steel, marvel
Devastator_(comics), marvel
Devil_Dinosaur, marvel
Devil-Slayer_(comics), marvel
Devos_the_Devastator, marvel
Jean_DeWolff, marvel
Diablo_(Marvel_Comics), marvel
Diamond_Lil_(Marvel_Comics), marvel
Diamondback_(Willis_Stryker), marvel
Diamondhead_(comics), marvel
Digger_(Marvel_Comics), marvel
Digitek_(comics), marvel
Dinah_Soar, marvel
Dionysus_(Marvel_Comics), marvel
Dirtnap_(comics), marvel
D'Ken, marvel
Hellions_(comics), marvel
Doc_Samson, marvel
Doctor_Bong, marvel
Doctor_Demonicus, marvel
Doctor_Doom, marvel
Doctor_Druid, marvel
Doctor_Faustus_(comics), marvel
Doctor_Minerva, marvel
Doctor_Nemesis, marvel
Doctor_Octopus, marvel
Doctor_Spectrum, marvel
Doctor_Strange, marvel
Daniel_Drumm, marvel
Domino_(comics), marvel
Big_Ben_Donovan, marvel
Roger_Dooley, marvel
Doom_2099, marvel
Doorman_(comics), marvel
Doop_(comics), marvel
Dorma_(comics), marvel
Dormammu, marvel
Doughboy_(comics), marvel
Dracula_(Marvel_Comics), marvel
Dragon_Lord_(comics), marvel
Dragon_Man_(comics), marvel
Damon_Dran, marvel
Drax_the_Destroyer, marvel
Dreadknight, marvel
Dreadnought_(comics), marvel
Dredmund_Druid, marvel
Druig, marvel
Dryad_(comics), marvel
D'Spayre, marvel
Dum-Dum_Dugan, marvel
Dusk_(comics), marvel
Dust_(comics), marvel
Dweller-in-Darkness, marvel
Earth_Force_(Marvel_Comics), marvel
Ebon_Samurai, marvel
Echo_(Marvel_Comics), marvel
Ectokid, marvel
Ethan_Edwards, marvel
Eel_(comics), marvel
Egghead_(Marvel_Comics), marvel
Ego_the_Living_Planet, marvel
Eitri_(comics), marvel
El_Aguila, marvel
Electro_(Marvel_Comics), marvel
Elixir_(comics), marvel
Elsie-Dee, marvel
Elysius_(comics), marvel
Empath_(comics), marvel
Enchantress_(Marvel_Comics), marvel
Katie_Power, marvel
Enforcer_(comics), marvel
Ent_(comics), marvel
Equinox_(comics), marvel
Ereshkigal_(Marvel_Comics), marvel
Eric_the_Red_(comics), marvel
Erg_(comics), marvel
Eternity_(comics), marvel
Fantomex, marvel
Everyman_(Marvel_Comics), marvel
Ex_Nihilo_(comics), marvel
Executioner_(comics), marvel
Exodus_(comics), marvel
Ezekiel_(comics), marvel
Falcon_(comics)|Sam_Wilson_(Marvel_Cinematic_Universe), marvel
Fancy_Dan, marvel
Fandral, marvel
Fantomex, marvel
Fasaud, marvel
Fatale_(Marvel_Comics), marvel
Father_Time_(Marvel_Comics), marvel
Fenris_Wolf_(Marvel_Comics), marvel
Feral_(comics), marvel
Fer-de-Lance_(comics), marvel
Saint_Sinner_(comics), marvel
Fin_(comics), marvel
Fin_Fang_Foom, marvel
Finesse_(character), marvel
Firebird_(Marvel_Comics), marvel
Firebrand_(Marvel_Comics), marvel
Firelord_(comics), marvel
Firepower_(comics), marvel
Firestar_(Marvel_Comics), marvel
Richard_Fisk, marvel
Vanessa_Fisk, marvel
Leo_Fitz, marvel
Fixx_(Marvel_comics), marvel
Fixer_(comics), marvel
Flag-Smasher, marvel
Flashback_(comics), marvel
Flatman_(comics), marvel
Flex_(comics), marvel
Flipside_(comics), marvel
Sally_Floyd_(comics), marvel
Flux_(comics), marvel
Flying_Tiger_(Marvel_Comics), marvel
Mickey_Fondozzi, marvel
Foolkiller, marvel
Forbush_Man, marvel
Force_(comics), marvel
Forearm_(comics), marvel
Foreigner_(comics), marvel
Forge_(comics), marvel
Lee_Forrester, marvel
Forgotten_One_(comics), marvel
Don_Fortunato, marvel
Dominic_Fortune, marvel
Jane_Foster_(comics), marvel
Frederick_Foswell, marvel
Foxbat_(comics), marvel
Foxfire_(comics), marvel
Frankenstein's_Monster_(Marvel_Comics), marvel
Freak_(Marvel_Comics), marvel
Freakshow_(comics), marvel
Free_Spirit_(comics), marvel
Freedom_Ring, marvel
Spike_Freeman, marvel
Frenchie_(comics), marvel
Frenzy_(comics), marvel
Freya_(comics), marvel
F.R.I.D.A.Y., marvel
Friction_(comics), marvel
Sharon_Friedlander, marvel
Frigga_(Marvel_Comics), marvel
Frog-Man, marvel
Adrienne_Frost, marvel
Deacon_Frost, marvel
Emma_Frost, marvel
Rumiko_Fujikawa, marvel
Fury_(Marvel_Comics), marvel
Jake_Fury, marvel
Mikel_Fury, marvel
Nick_Fury|Nick_Fury_(Ultimate_Marvel_character)|Nick_Fury_(Marvel_Cinematic_Universe), marvel
Nick_Fury_Jr., marvel
Vernon_Fury, marvel
Fusion_(Marvel_Comics), marvel
Futurist_(comics), marvel
Galactus, marvel
Gambit_(Marvel_Comics), marvel
Gamesmaster_(comics), marvel
Gamora, marvel
Gardener_(comics), marvel
